     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         229.711;           0.224;           0.000;         99;         99;     1963478.889;     2011203.697;     1971599.274;        9812.329 ( 0.498 %);     37.926
       IKJ;         229.711;           0.224;           0.000;         99;         99;      666863.889;      681957.616;      669505.423;        3642.332 ( 0.544 %);    111.688
       IEX;         229.711;           0.224;           0.000;         99;         99;      666707.899;      675510.778;      669692.269;        2056.402 ( 0.307 %);    111.657
    UNROLL;         229.711;           0.224;           0.000;         99;         99;      995265.677;     1062972.566;     1004903.804;       13613.672 ( 1.355 %);     74.411
   UNROLL8;         229.711;           0.224;           0.000;         99;         99;     1028632.707;     1081356.384;     1035752.182;       11491.228 ( 1.109 %);     72.195
     CBLAS;         229.711;           0.224;           0.000;         99;         99;      561886.545;      581542.152;      566622.583;        3712.705 ( 0.655 %);    131.967
