     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.547;           0.002;           0.000;         99;         99;       13754.919;         188.101;         257.141;         198.522;          21.272 (10.715 %);   3804.663
   UNROLL8;           1.547;           0.002;           0.000;         99;         99;        4129.661;         188.091;         468.828;         232.805;          51.445 (22.098 %);   3244.385
