     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         229.711;           0.224;           0.000;         99;         99;     1902505.444;     2066917.758;     1936635.998;       30625.773 ( 1.581 %);     38.611
       IKJ;         229.711;           0.224;           0.000;         99;         99;      665463.859;      675527.242;      668234.511;        2223.289 ( 0.333 %);    111.900
       IEX;         229.711;           0.224;           0.000;         99;         99;      666999.636;      674797.091;      669326.525;        1891.175 ( 0.283 %);    111.718
    UNROLL;         229.711;           0.224;           0.000;         99;         99;     1002072.283;     1036476.343;     1005437.331;        5958.062 ( 0.593 %);     74.371
   UNROLL8;         229.711;           0.224;           0.000;         99;         99;     1016807.899;     1031115.929;     1020423.275;        3463.008 ( 0.339 %);     73.279
     CBLAS;         229.711;           0.224;           0.000;         99;         99;      556601.576;      564745.293;      559748.912;        1715.807 ( 0.307 %);    133.588
