     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.547;           0.002;           0.000;         99;         99;         494.723;         147.404;         164.313;         153.803;           4.765 ( 3.098 %);   4910.887
   UNROLL8;           1.547;           0.002;           0.000;         99;         99;         517.055;         149.677;         229.020;         185.097;          25.402 (13.724 %);   4080.624
