     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         229.711;           0.224;           0.000;         99;         99;     1921162.818;     2168604.848;     1948646.053;       40869.357 ( 2.097 %);     38.373
       IKJ;         229.711;           0.224;           0.000;         99;         99;      677862.889;      698919.182;      687507.650;        5169.515 ( 0.752 %);    108.763
       IEX;         229.711;           0.224;           0.000;         99;         99;      670233.525;      704618.596;      686273.910;        7102.584 ( 1.035 %);    108.959
    UNROLL;         229.711;           0.224;           0.000;         99;         99;      991987.778;     1318521.859;     1010209.999;       56345.088 ( 5.578 %);     74.020
     CBLAS;         229.711;           0.224;           0.000;         99;         99;      559484.131;      582593.586;      566606.185;        6416.843 ( 1.133 %);    131.971
