     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         229.711;           0.224;           0.000;         99;         99;     2057596.828;     2135217.434;     2069429.495;       14198.194 ( 0.686 %);     36.133
       IKJ;         229.711;           0.224;           0.000;         99;         99;      529829.697;      560507.394;      545970.344;        7002.792 ( 1.283 %);    136.959
       IEX;         229.711;           0.224;           0.000;         99;         99;      687156.717;      712311.798;      699280.777;        5689.233 ( 0.814 %);    106.932
    UNROLL;         229.711;           0.224;           0.000;         99;         99;      713828.737;      757140.869;      734192.937;        9143.812 ( 1.245 %);    101.847
     CBLAS;         229.711;           0.224;           0.000;         99;         99;      559724.566;      572940.424;      565403.274;        2873.912 ( 0.508 %);    132.252
