     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.547;           0.002;           0.000;         99;         99;        4790.638;         256.333;         265.293;         259.295;           2.272 ( 0.876 %);   2912.940
   UNROLL8;           1.547;           0.002;           0.000;         99;         99;        2526.020;         188.758;         254.232;         230.979;          22.509 ( 9.745 %);   3270.031
