     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.547;           0.002;           0.000;         99;         99;        6708.076;         237.556;         245.838;         239.785;           2.201 ( 0.918 %);   3149.953
   UNROLL8;           1.547;           0.002;           0.000;         99;         99;        4514.234;         165.566;        2089.970;         266.508;         329.896 (123.785 %);   2834.101
