     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         229.711;           0.224;           0.000;         99;         99;     1879339.747;     2055713.313;     1914933.193;       38584.632 ( 2.015 %);     39.049
       IKJ;         229.711;           0.224;           0.000;         99;         99;      668828.919;      679612.808;      671329.822;        2218.655 ( 0.330 %);    111.384
       IEX;         229.711;           0.224;           0.000;         99;         99;      660162.677;      670162.970;      664458.886;        2206.451 ( 0.332 %);    112.536
    UNROLL;         229.711;           0.224;           0.000;         99;         99;      994851.687;     1008353.828;      999866.563;        3245.390 ( 0.325 %);     74.786
     CBLAS;         229.711;           0.224;           0.000;         99;         99;      555217.263;      796682.242;      566946.238;       42829.499 ( 7.554 %);    131.892
