     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         229.711;           0.224;           0.000;         99;         99;     2063823.505;     2185708.576;     2089672.216;       31188.572 ( 1.493 %);     35.783
       IKJ;         229.711;           0.224;           0.000;         99;         99;     1339902.808;     1374111.889;     1354020.818;        7579.857 ( 0.560 %);     55.225
       IEX;         229.711;           0.224;           0.000;         99;         99;     1457449.222;     1541967.677;     1468668.263;       15253.221 ( 1.039 %);     50.914
    UNROLL;         229.711;           0.224;           0.000;         99;         99;     1043698.364;     1059074.929;     1050987.128;        3628.517 ( 0.345 %);     71.148
   UNROLL8;         229.711;           0.224;           0.000;         99;         99;     1116347.616;     1134665.566;     1120355.861;        3699.351 ( 0.330 %);     66.743
     CBLAS;         229.711;           0.224;           0.000;         99;         99;      559870.515;      624953.253;      567198.762;       10883.048 ( 1.919 %);    131.833
