     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.547;           0.002;           0.000;         99;         99;         574.497;         162.465;         241.232;         176.291;          27.329 (15.502 %);   4284.441
   UNROLL8;           1.547;           0.002;           0.000;         99;         99;        2498.872;         148.172;         224.293;         178.091;          25.895 (14.540 %);   4241.149
