     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         229.711;           0.224;           0.000;         99;         99;     2057123.394;     2154399.263;     2072504.624;       19230.066 ( 0.928 %);     36.080
       IKJ;         229.711;           0.224;           0.000;         99;         99;     1460345.657;     1495706.879;     1467357.013;        6664.286 ( 0.454 %);     50.959
       IEX;         229.711;           0.224;           0.000;         99;         99;     1433285.545;     1454440.556;     1438418.062;        5115.140 ( 0.356 %);     51.985
    UNROLL;         229.711;           0.224;           0.000;         99;         99;     1047788.081;     1349235.414;     1067662.872;       51031.497 ( 4.780 %);     70.037
     CBLAS;         229.711;           0.224;           0.000;         99;         99;      558304.747;      569573.071;      562758.324;        2286.723 ( 0.406 %);    132.874
