     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         229.711;           0.224;           0.000;         99;         99;     2055507.667;     2116124.424;     2066189.582;       13889.446 ( 0.672 %);     36.190
       IKJ;         229.711;           0.224;           0.000;         99;         99;     1137566.263;     1187755.859;     1147641.977;       12030.093 ( 1.048 %);     65.156
       IEX;         229.711;           0.224;           0.000;         99;         99;     1139121.545;     1163597.646;     1144635.791;        6168.862 ( 0.539 %);     65.327
    UNROLL;         229.711;           0.224;           0.000;         99;         99;     1032454.121;     1104761.778;     1054999.891;       19694.240 ( 1.867 %);     70.877
   UNROLL8;         229.711;           0.224;           0.000;         99;         99;     1111278.747;     1130714.960;     1117380.903;        4158.531 ( 0.372 %);     66.921
     CBLAS;         229.711;           0.224;           0.000;         99;         99;      561205.556;      651048.030;      572894.866;       17768.726 ( 3.102 %);    130.523
