     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.547;           0.002;           0.000;         99;         99;         723.263;         163.556;         253.273;         176.131;          26.248 (14.903 %);   4288.342
   UNROLL8;           1.547;           0.002;           0.000;         99;         99;         368.933;         148.505;         205.121;         156.629;          17.083 (10.907 %);   4822.287
