     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         229.711;           0.224;           0.000;         99;         99;     2032389.879;     2083941.677;     2042456.329;        9115.902 ( 0.446 %);     36.611
       IKJ;         229.711;           0.224;           0.000;         99;         99;     1439748.646;     1464533.444;     1447384.573;        7187.961 ( 0.497 %);     51.663
       IEX;         229.711;           0.224;           0.000;         99;         99;     1438280.071;     1456557.758;     1445573.851;        4423.734 ( 0.306 %);     51.727
    UNROLL;         229.711;           0.224;           0.000;         99;         99;     1109894.636;     1131439.778;     1115341.800;        4317.646 ( 0.387 %);     67.043
     CBLAS;         229.711;           0.224;           0.000;         99;         99;      560168.273;      569126.111;      563442.690;        2152.416 ( 0.382 %);    132.712
