     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.547;           0.002;           0.000;         99;         99;         349.190;         148.101;        1893.192;         228.993;         300.225 (131.106 %);   3298.394
   UNROLL8;           1.547;           0.002;           0.000;         99;         99;         414.864;         147.747;         862.202;         212.848;         119.796 (56.282 %);   3548.581
