     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         229.711;           0.224;           0.000;         99;         99;     2065992.626;     2214990.707;     2082674.672;       30614.762 ( 1.470 %);     35.904
       IKJ;         229.711;           0.224;           0.000;         99;         99;     1433588.919;     1454161.525;     1440206.517;        4424.042 ( 0.307 %);     51.920
       IEX;         229.711;           0.224;           0.000;         99;         99;     1464263.576;     1780236.677;     1480727.586;       54230.316 ( 3.662 %);     50.499
    UNROLL;         229.711;           0.224;           0.000;         99;         99;     1031934.192;     1050872.687;     1036470.051;        4236.017 ( 0.409 %);     72.145
     CBLAS;         229.711;           0.224;           0.000;         99;         99;      555860.343;      565184.263;      558419.422;        2513.989 ( 0.450 %);    133.906
