     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.547;           0.002;           0.000;         99;         99;         464.388;         161.818;         233.626;         203.620;          30.083 (14.774 %);   3709.419
   UNROLL8;           1.547;           0.002;           0.000;         99;         99;         466.293;         146.364;         151.131;         147.819;           1.315 ( 0.889 %);   5109.692
