     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         229.711;           0.224;           0.000;         99;         99;     2046970.202;     2126366.152;     2059702.321;       17084.428 ( 0.829 %);     36.304
       IKJ;         229.711;           0.224;           0.000;         99;         99;      682138.990;      705562.970;      694513.158;        6275.173 ( 0.904 %);    107.666
       IEX;         229.711;           0.224;           0.000;         99;         99;      532757.364;      563035.051;      547950.960;        7960.397 ( 1.453 %);    136.464
    UNROLL;         229.711;           0.224;           0.000;         99;         99;      706890.636;      750240.939;      734029.351;        9158.636 ( 1.248 %);    101.870
   UNROLL8;         229.711;           0.224;           0.000;         99;         99;      660067.535;      666034.677;      662071.391;        1348.320 ( 0.204 %);    112.942
     CBLAS;         229.711;           0.224;           0.000;         99;         99;      558191.980;      572371.889;      561820.877;        2791.753 ( 0.497 %);    133.095
