     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.547;           0.002;           0.000;         99;         99;        6688.336;         200.404;         275.758;         210.633;          22.533 (10.698 %);   3585.906
   UNROLL8;           1.547;           0.002;           0.000;         99;         99;        2007.722;         188.354;         412.212;         214.000;          43.231 (20.201 %);   3529.486
