     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.547;           0.002;           0.000;         99;         99;        6128.567;         255.899;         280.606;         260.078;           5.145 ( 1.978 %);   2904.170
   UNROLL8;           1.547;           0.002;           0.000;         99;         99;        6537.970;         238.626;         247.980;         241.479;           2.274 ( 0.942 %);   3127.845
