     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.547;           0.002;           0.000;         99;         99;         390.355;         153.071;         248.232;         166.848;          29.129 (17.459 %);   4526.939
   UNROLL8;           1.547;           0.002;           0.000;         99;         99;         527.677;         151.071;         154.616;         151.919;           1.047 ( 0.689 %);   4971.778
