     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.547;           0.002;           0.000;         99;         99;       14544.694;         202.091;         267.162;         236.745;          29.622 (12.512 %);   3190.395
   UNROLL8;           1.547;           0.002;           0.000;         99;         99;        2973.893;         190.192;         200.758;         191.890;           2.217 ( 1.155 %);   3936.172
